"Culture_ID"	"Plant_ID"	"Subspecies"	55	69	188	190	191
45985	1018702	"[St.Milva.n].105"			0.27986	136.8574	0.038301
45985	1018703	"[St.Milva.n].106"			0.36657	141.0386	0.051701
45985	1018704	"[St.Milva.n].107"			0.29077	141.0386	0.04101
45985	1018705	"[St.Saturna.n].82"			0	0	0
45985	1018706	"[St.Saturna.n].83"			0.17999	182.8506	0.032911
45985	1018707	"[St.Saturna.n].84"			0.16717	176.5788	0.029519
45985	1018708	"[St.Saturna.n].85"			0.18506	199.5754	0.036933
45985	1018709	"[St.Saturna.n].86"			0.2145	189.1224	0.040567
45985	1018710	"[St.Saturna.n].87"			0.20752	187.0318	0.038813
45985	1018711	"[St.Saturna.n].88"			0.21703	197.4848	0.04286
45985	1018712	"[St.Saturna.n].89"			0.20641	184.9412	0.038174
45985	1018713	"[St.Saturna.n].90"			0.22272	182.8506	0.040724
45985	1018714	"[St.Saturna.n].91"			0.20939	191.213	0.040038
45985	1018715	"[St.Saturna.n].92"			0.21444	187.0318	0.040107
45985	1018716	"[St.Saturna.n].93"			0.25036	195.3942	0.048919
45985	1018717	"[St.Saturna.n].94"			0.16666	191.213	0.031868
45985	1018718	"[St.Saturna.n].95"			0.19939	197.4848	0.039376
45985	1018719	"[St.Saturna.n].96"			0.24275	184.9412	0.044894
45985	1018720	"[St.Saturna.n].97"			0.20925	178.6694	0.037387
45985	1018721	"[St.Saturna.n].98"			0.23895	207.9378	0.049687
45985	1018722	"[St.Saturna.n].99"			0.23455	184.9412	0.043378
45985	1018723	"[St.Saturna.n].100"			0.19509	182.8506	0.035672
45985	1018724	"[St.Saturna.n].101"			0.2313	180.76	0.04181
45985	1018725	"[St.Saturna.n].102"			0	0	0
45985	1018726	"[St.Saturna.n].103"			0.2114	197.4848	0.041748
45985	1018727	"[St.Saturna.n].104"			0.20331	187.0318	0.038025
45985	1018728	"[St.Saturna.n].105"			0.26387	174.4882	0.046042
45985	1018729	"[St.Desiree.n].1055"			0.2641	164.0352	0.043322
45985	1018730	"[St.Desiree.n].1056"			0.34103	170.307	0.05808
45985	1018731	"[St.Desiree.n].1057"			0.27746	184.9412	0.051314
45985	1018732	"[St.Desiree.n].1058"			0.24039	178.6694	0.04295
45985	1018733	"[St.Desiree.n].1059"			0.24479	172.3976	0.042201
45985	1018734	"[St.Desiree.n].1060"			0.26329	172.3976	0.045391
45985	1018735	"[St.Desiree.n].1061"			0.14918	168.2164	0.025095
45985	1018736	"[St.Desiree.n].1062"			0.25147	176.5788	0.044404
45985	1018737	"[St.Desiree.n].1063"			0.32313	174.4882	0.056382
45985	1018738	"[St.Desiree.n].1064"			0	0	0
45985	1018739	"[St.Desiree.n].1065"			0.29364	172.3976	0.050623
45985	1018740	"[St.Desiree.n].1066"			0.27025	193.3036	0.05224
45985	1018741	"[St.Desiree.n].1067"			0.28033	180.76	0.050672
45985	1018742	"[St.Desiree.n].1068"			0.26183	170.307	0.044591
45985	1018743	"[St.Desiree.n].1069"			0.26864	170.307	0.045751
45985	1018744	"[St.Desiree.n].1070"			0.34539	164.0352	0.056656
45985	1018745	"[St.Desiree.n].1071"			0.2961	164.0352	0.048571
45985	1018746	"[St.Desiree.n].1072"			0.21696	172.3976	0.037403
45985	1018747	"[St.Desiree.n].1073"			0.30637	172.3976	0.052817
45985	1018748	"[St.Desiree.n].1074"			0.29691	189.1224	0.056152
45985	1018749	"[St.Desiree.n].1075"			0.30142	178.6694	0.053855
45985	1018750	"[St.Desiree.n].1076"			0.27834	174.4882	0.048567
45985	1018751	"[St.Desiree.n].1077"			0.31676	182.8506	0.05792
45985	1018752	"[St.Desiree.n].1078"			0.33067	178.6694	0.059081
45985	1018753	"[St.Alegria.n].82"			0.23194	126.4044	0.029318
45985	1018754	"[St.Alegria.n].83"			0.2108	141.0386	0.029731
45985	1018755	"[St.Alegria.n].84"			0.21819	151.4916	0.033054
45985	1018756	"[St.Alegria.n].85"			0.17646	136.8574	0.02415
45985	1018757	"[St.Alegria.n].86"			0.21268	153.5822	0.032664
45985	1018758	"[St.Alegria.n].87"			0.18137	145.2198	0.026339
45985	1018759	"[St.Alegria.n].88"			0.14734	128.495	0.018932
45985	1018760	"[St.Alegria.n].89"			0.23718	130.5856	0.030972
45985	1018761	"[St.Alegria.n].90"			0.25368	126.4044	0.032066
45985	1018762	"[St.Alegria.n].91"			0.23921	164.0352	0.039239
45985	1018763	"[St.Alegria.n].92"			0.25966	147.3104	0.038251
45985	1018764	"[St.Alegria.n].93"			0.25079	155.6728	0.039041
45985	1018765	"[St.Alegria.n].94"			0.18572	168.2164	0.031241
45985	1018766	"[St.Alegria.n].95"			0.20951	157.7634	0.033053
45985	1018767	"[St.Alegria.n].96"			0.24276	155.6728	0.037791
