Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
58243,1214063,[St.D.n].1.948,165.7,,2.2210,0.437,,136.445217019,22.6089724601
58243,1214064,[St.D.n].1.949,85.6,,3.0813,0.629,,143.821618505,12.311130544
58243,1214065,[St.D.n].1.950,353.2,,2.9614,0.725,,184.503640778,65.1666859228
58243,1214066,[St.D.n].1.951,346.7,,2.6483,0.652,,185.882672696,64.4455226236
58243,1214067,[St.D.n].1.952,387.7,,2.1223,0.314,,87.6396928332,33.9779089114
58243,1214068,[St.D.n].1.953,315.7,,2.4547,0.420,,110.787338127,34.9755626466
58243,1214069,[St.D.n].1.954,151.8,,2.6655,0.616,,170.788106734,25.9256346023
58243,1214070,[St.D.n].1.955,143.4,,2.6056,0.541,,147.316720602,21.1252177343
58243,1214071,[St.Sommergold.n].118,91.8,,2.5110,0.683,,211.690185982,19.4331590731
58243,1214072,[St.Sommergold.n].119,55.8,,3.3009,0.977,,235.666884274,13.1502121425
58243,1214073,[St.Sommergold.n].120,275.9,,2.5116,0.705,,220.384563306,60.8041010162
58243,1214074,[St.Sommergold.n].121,151.1,,2.5588,0.768,,239.827690949,36.2379641024
58243,1214075,[St.Sommergold.n].122,85.0,,3.1489,0.867,,215.021243704,18.2768057149
58243,1214076,[St.Sommergold.n].123,49.4,,2.2531,0.761,,277.443868315,13.7057270947
58243,1214077,[St.Sommergold.n].124,105.2,,3.2456,0.632,,134.412166379,14.1401599031
58243,1214078,[St.Sommergold.n].125,166.4,,2.5653,0.547,,152.917421393,25.4454589198
58243,1214079,[St.Sommergold.n].126,182.0,,3.0199,0.724,,179.430037849,32.6562668885
58243,1214080,[St.Sommergold.n].127,176.5,,2.9380,0.796,,210.619607216,37.1743606736
58243,1214081,[St.Sommergold.n].128,21.7,,2.4444,0.613,,190.46428686,4.13307502486
58243,1214082,[St.Sommergold.n].129,31.5,,2.8380,0.724,,194.796231853,6.13608130338
58243,1214083,[St.Maxilla.n].118,50.6,,2.5911,0.713,,214.859706572,10.8719011526
58243,1214084,[St.Maxilla.n].119,58.7,,3.4506,0.951,,215.29124274,12.6375959489
58243,1214085,[St.Maxilla.n].120,280.9,,2.8811,0.767,,205.904764048,57.8386482212
58243,1214086,[St.Maxilla.n].121,116.43,,3.0532,0.866,,223.323840037,26.0015946955
58243,1214087,[St.Maxilla.n].122,50.4,,2.8936,0.841,,230.328415538,11.6085521431
58243,1214088,[St.Maxilla.n].123,95.8,,2.5386,0.680,,207.551177105,19.8834027667
58243,1214089,[St.Maxilla.n].124,166.4,,3.3522,1.002,,238.595179703,39.7022379026
58243,1214090,[St.Maxilla.n].125,222.0,,3.0307,0.899,,236.31814132,52.4626273731
58243,1214091,[St.Maxilla.n].126,266.2,,1.9951,0.615,,247.942225302,66.0022203754
58243,1214092,[St.Maxilla.n].127,174.6,,2.5820,0.766,,236.356248644,41.2678010133
58243,1214093,[St.Maxilla.n].128,51.5,,3.2420,1.012,,251.83999198,12.969759587
58243,1214094,[St.Maxilla.n].129,20.6,,2.9249,0.840,,226.876305617,4.67365189572
58243,1214095,[St.Albatros.n].118,189.0,,3.4025,0.768,,165.403385011,31.2612397671
58243,1214096,[St.Albatros.n].119,127.3,,2.8572,0.793,,217.231449111,27.6535634718
58243,1214097,[St.Albatros.n].120,77.9,,3.7601,1.030,,213.61588487,16.6406774314
58243,1214098,[St.Albatros.n].121,133.3,,3.6582,1.041,,224.253180089,29.8929489058
58243,1214099,[St.Albatros.n].122,133.6,,3.1321,0.879,,220.329380511,29.4360052363
58243,1214100,[St.Albatros.n].123,107.7,,3.1175,0.808,,198.869036889,21.4181952729
58243,1214101,[St.Albatros.n].124,102.2,,3.0010,0.816,,211.596363545,21.6251483543
58243,1214102,[St.Albatros.n].125,99.4,,3.1093,0.758,,183.471774708,18.237094406
58243,1214103,[St.Albatros.n].126,136.7,,2.5623,0.674,,202.731920579,27.7134535432
58243,1214104,[St.Albatros.n].127,282.2,,2.6071,0.581,,162.539978405,45.8687819059
58243,1214105,[St.Albatros.n].128,112.4,,2.0213,0.584,,228.609970366,25.6957606691
58243,1214106,[St.Albatros.n].129,122.0,,2.9675,0.844,,224.101490312,27.340381818
58243,1214107,[St.Milva.n].525,146.29,,2.9079,0.597,,144.989795832,21.2105572323
58243,1214108,[St.Milva.n].526,117.1,,2.5388,0.513,,141.750967229,16.5990382625
58243,1214109,[St.Milva.n].527,349.3,,3.0750,0.625,,142.93903252,49.9286040593
58243,1214110,[St.Milva.n].528,288.4,,2.2762,0.635,,218.660728143,63.0617539966
58243,1214111,[St.Milva.n].529,65.8,,2.5739,0.531,,145.988721124,9.60605784993
58243,1214112,[St.Milva.n].530,151.3,,3.5600,0.714,,140.248797753,21.2196431
58243,1214113,[St.Milva.n].531,347.5,,2.5364,0.525,,146.673279767,50.9689647189
58243,1214114,[St.Milva.n].532,311.9,,2.6832,0.529,,136.839653548,42.6802879416
58243,1214115,[St.Milva.n].533,398.3,,3.4746,0.727,,148.919717435,59.3147234544
58243,1214116,[St.Milva.n].534,447.3,,2.8997,0.649,,163.503256854,73.1350067909
58243,1214117,[St.Milva.n].535,40.0,,2.3786,0.556,,173.437945935,6.93751783738
58243,1214118,[St.Milva.n].536,205.4,,2.4403,0.556,,167.527839241,34.4102181801
58243,1214119,[St.Euroresa.n].118,40.1,,2.5602,0.710,,217.009084212,8.70206427691
58243,1214120,[St.Euroresa.n].119,2.5,,1.7555,0.485,,215.961565651,0.539903914127
58243,1214121,[St.Euroresa.n].120,188.9,,3.3528,0.986,,233.769557862,44.1590694801
58243,1214122,[St.Euroresa.n].121,184.3,,3.5969,0.898,,189.346428953,34.896546856
