Culture_ID,Plant_ID,Subspecies,55,69,163,164,188,225,190,191
44443,989665,[St.Pirol.n].4,,,,,6.542000,,200.000000,1.308400
44443,989666,[St.Pirol.n].5,,,,,9.030000,,194.000000,1.751820
44443,989667,[St.Pirol.n].6,,,,,8.398000,,191.000000,1.604018
44443,989668,[St.Pirol.n].7,,,,,9.606000,,209.000000,2.007654
44443,989669,[St.Pirol.n].8,,,,,8.044000,,205.000000,1.649020
44443,989670,[St.Burana.n].1,,,,,9.944000,,230.000000,2.287120
44443,989671,[St.Burana.n].2,,,,,9.148000,,218.000000,1.994264
44443,989672,[St.Burana.n].3,,,,,9.564000,,238.000000,2.276232
44443,989673,[St.Burana.n].4,,,,,7.176000,,221.000000,1.585896
44443,989674,[St.Burana.n].5,,,,,11.128000,,247.000000,2.748616
44443,989675,[St.Burana.n].6,,,,,6.940000,,229.000000,1.589260
44443,989676,[St.Burana.n].7,,,,,10.394000,,227.000000,2.359438
44443,989677,[St.Burana.n].8,,,,,9.322000,,212.000000,1.976264
44443,989678,[St.Golf.n].1,,,,,8.298000,,219.000000,1.817262
44443,989679,[St.Golf.n].2,,,,,6.370000,,205.000000,1.305850
44443,989680,[St.Golf.n].3,,,,,6.520000,,226.000000,1.473520
44443,989681,[St.Golf.n].4,,,,,6.898000,,208.000000,1.434784
44443,989682,[St.Golf.n].5,,,,,7.334000,,210.000000,1.540140
44443,989683,[St.Golf.n].6,,,,,4.390000,,194.000000,0.851660
44443,989684,[St.Golf.n].7,,,,,9.342000,,224.000000,2.092608
44443,989685,[St.Golf.n].8,,,,,7.948000,,213.000000,1.692924
44443,989686,[St.Priamos.n].1,,,,,7.660000,,216.000000,1.654560
44443,989687,[St.Priamos.n].2,,,,,7.876000,,214.000000,1.685464
44443,989688,[St.Priamos.n].3,,,,,9.630000,,228.000000,2.195640
44443,989689,[St.Priamos.n].4,,,,,7.590000,,199.000000,1.510410
44443,989690,[St.Priamos.n].5,,,,,5.044000,,211.000000,1.064284
44443,989691,[St.Priamos.n].6,,,,,6.886000,,189.000000,1.301454
44443,989692,[St.Priamos.n].7,,,,,7.558000,,218.000000,1.647644
44443,989693,[St.Priamos.n].8,,,,,7.662000,,196.000000,1.501752
44443,989694,[St.Ramses.n].1,,,,,9.002000,,216.000000,1.944432
